"#","Registration No / Notification No","Product Name","Holder"
"241","MAL20034002XRZ","VITAMIN C 1000MG ORANGE CHEWABLE","21ST CENTURY PRODUCTS SDN. BHD."
"242","MAL05041934XC","Ginsavit Capsules","PHARMAFORTE (MALAYSIA) SDN. BHD."
"243","MAL04010359XZ","Flavettes Vitamin C Orange 250mg Sugar Free","Duopharma Marketing Sdn. Bhd."
"244","MAL20034355XCZ","KORDEL`S CHEWABLE C 250MG TABLET","CAMBERT(M) SDN BHD"
"245","MAL20034371XC","KORDEL`S EXECUTIVE B TABLET","CAMBERT(M) SDN BHD"
"246","MAL20034381XC","KORDEL`S SELENIUM ACE TABLET","CAMBERT(M) SDN BHD"
"247","MAL20034394XC","KORDEL`S NUTRITIME TABLET","CAMBERT(M) SDN BHD"
"248","MAL04125476X","Viva Shield, Tablet","VIVA LIFE SCIENCE SDN. BHD."
"249","MAL05023394XZ","Nn Vitamin C-100","WINWA MEDICAL SDN. BHD."
"250","MAL04125478X","Viva Kids Plus, Tablet","VIVA LIFE SCIENCE SDN. BHD."
"251","MAL04080003XZ","Appeton A to Z Kid's Vitamin C 30mg Tablet (Blackcurrant)","KOTRA PHARMA (M) SDN. BHD."
"252","MAL04091675XZ","Appeton A To Z Kid's Vitamin C 30mg Tablet (Strawberry)","KOTRA PHARMA (M) SDN. BHD."
"253","MAL05051047X","Opti Vite","HOVID BERHAD"
"254","MAL05023395XZ","Nn Vitamin C 250mg","WINWA MEDICAL SDN. BHD."
"255","MAL06071084X","GNC Women""s Crowning Glory","ONI Global (Malaysia) Sdn Bhd"
"256","MAL05012312XZ","Vitahealth Vitamin C 500mg Chewable Mango Flavour","HOVID BERHAD"
"257","MAL20040682XCR","VITAHEALTH MEGA B+C COMPLEX TABLET","VITAHEALTH BIOTECH SDN BHD"
"258","MAL04125493X","GNC Teens Mega Teen","ONI Global (Malaysia) Sdn Bhd"
"259","MAL06011719X","GNC Vitamin C 500 with Rose Hips Timed Release","ONI Global (Malaysia) Sdn Bhd"
"260","MAL05121175X","MultiPlus Ginseng Softgel","HOVID BERHAD"
"261","MAL20041256XCR","VITAHEALTH VITARON TABLET","VITAHEALTH BIOTECH SDN BHD"
"262","MAL20040634XCRZ","VitaHealth Orange C 500mg Chewable Tablet","VITAHEALTH BIOTECH SDN BHD"
"263","MAL20040669XCR","VitaHealth Kids Multivits + Zinc Chewable Tablet, Natural Orange Flavour","VITAHEALTH BIOTECH SDN BHD"
"264","MAL05051055XZ","GNC Vitamin C 1000 Tablet","ONI Global (Malaysia) Sdn Bhd"
"265","MAL05032544XZ","C60 Syrup","SUNWARD PHARMACEUTICAL SDN. BHD."
"266","MAL05023410XCR","Herbs of Gold Vitamin C 500mg Plus","PHARMADIRECT SDN. BHD."
"267","MAL05061511XZ","Cebion Orange Effervescent Tablet","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"268","MAL05072108XZ","Live-well™ XYLIVIT-C™ 125 Children`s Chewable Vitamin-C Tablet","PAHANG PHARMACY SDN. BHD."
"269","MAL06011722XCR","OCEAN HEALTH BUFFERED C-500 WITH CITRUS BIOFLAVONOIDS CHEWABLE TABLETS","HYPHENS PHARMA SDN. BHD."
"270","MAL06011723X","GNC Basic Antioxidant Softgel Capsule","ONI Global (Malaysia) Sdn Bhd"
"271","MAL05072112X","Live-well™  KIDZSENTIAL™  with Lysine Children’s Chewable Multivitamin & Minerals Tablet","PAHANG PHARMACY SDN. BHD."
"272","MAL06051347XCR","VitaHealth Multivits & Minerals Softgel","VITAHEALTH MALAYSIA SDN. BHD."
"273","MAL05061537XZ","Chewette C-100 Chewable Tablet Sour Plum Flavour","HOVID BERHAD"
"274","MAL05061541XCR","BiO-LiFE acnacare Softgel Capsule","MEGA LIFESCIENCES SDN. BHD."
"275","MAL06100592XC","Prolysin-C Film Coated Tablet","WONG`S NATURE CURE CENTRE"
"276","MAL07061359XC","Vitacor Plus Film Coated Tablet","WONG`S NATURE CURE CENTRE"
"277","MAL06100595XC","Vita C Film Coated Tablet","WONG`S NATURE CURE CENTRE"
"278","MAL06100596XC","Diacor Film Coated Tablet","WONG`S NATURE CURE CENTRE"
"279","MAL06100597XC","Lysin-C","WONG`S NATURE CURE CENTRE"
"280","MAL05072115X","Nn C-500 with Rose Hip Time-Release Tablet","PURE NUTRITIONAL PRODUCTS SDN. BHD."
"281","MAL05090127X","Shine Bio A.C.E. With Selenium Film Coated Tablet","Y.S.P. INDUSTRIES (M) SDN BHD"
"282","MAL05061555XZ","Flavettes Vitamin C Orange 250mg","Duopharma Marketing Sdn. Bhd."
"283","MAL06030876XC","Vitalux Plus Time Release","ALCON LABORATORIES (MALAYSIA) SDN. BHD."
"284","MAL06021228X","GNC Men""s Mega Men Tablet","ONI Global (Malaysia) Sdn Bhd"
"285","MAL06021229X","GNC Multivitamin Mega Women Tablet","ONI Global (Malaysia) Sdn Bhd"
"286","MAL06051363XCR","The Prime™ Macu-Guard Softgel Capsules","CAMBERT(M) SDN BHD"
"287","MAL07124603X","evelle","PHARMA NORD SDN. BHD."
"288","MAL05121179XZ","Effervescent Chewette C 1000 mg Orange Flavour","HOVID BERHAD"
"289","MAL06051367X","Nutridos BCo Plus","Y.S.P. INDUSTRIES (M) SDN BHD"
"290","MAL06030841XC","Shine Dailivite Multivitamins + Minerals Softgels","Y.S.P. INDUSTRIES (M) SDN BHD"
"291","MAL06051375X","NUTRILITE DOUBLE X MULTIVITAMIN, TABLET","AMWAY (MALAYSIA) SDN. BHD."
"292","MAL09072748X","GNC Vitamin C 1000 with Bioflavonoids Timed Release","ONI Global (Malaysia) Sdn Bhd"
"293","MAL06061352X","GNC  Prima-C 1000 Timed Release","ONI Global (Malaysia) Sdn Bhd"
"294","MAL06081244X","Supra B + Vit C Tablet","PAHANG PHARMACY SDN. BHD."
"295","MAL06030894XZ","Nova – C 500 Tablet","NOVA LABORATORIES SDN. BHD."
"296","MAL07010929XR","Glow Capsule","MEGA LIFESCIENCES SDN. BHD."
"297","MAL06071114X","Nova Cal – 300 C + D Effervescent Tablet","NOVA LABORATORIES SDN. BHD."
"298","MAL06061370XZ","C-CHEWABLE","VIVA LIFE SCIENCE SDN. BHD."
"299","MAL06071120XZ","Nova Vit - C Chewable tablet","NOVA LABORATORIES SDN. BHD."
"300","MAL06071126X","Juvita Multivitamins plus Calcium Chewable Tablet (For Children)","NOVA LABORATORIES SDN. BHD."
"301","MAL06030899XCR","Herbs of Gold B Complex Plus Softgel","PHARMADIRECT SDN. BHD."
"302","MAL06071133X","LifeFit Actif Multivitamin and Mineral Caplet","NOVA LABORATORIES SDN. BHD."
"303","MAL06091462X","Pro-S Collagen","DYNAPHARM (M) SDN BHD"
"304","MAL06100635X","Once A Day Tablets","Eucogen Pharma Sdn. Bhd."
"305","MAL06051410XZ","Flavettes Vitamin C Orange 500mg","Duopharma Marketing Sdn. Bhd."
"306","MAL06061399XZ","CEBION ORANGE CHEWABLE TABLETS","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"307","MAL06061405XC","Supai 100 Tablet","PEMBEKALAN UBAT HUATHAI SDN. BHD."
"308","MAL06041456X","Vitamin A.C.E. + Zn Capsule","PAHANG PHARMACY SDN. BHD."
"309","MAL06091489X","Pynocarewhite","MEGA LIFESCIENCES SDN. BHD."
"310","MAL06051415X","GENOLIFE COLLAGEN PLUS VITAMIN C CAPSULE","HERBAL SCIENCE SDN. BHD."
"311","MAL06091553XCRS","CalSource C+ Effervescent Tablets","GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD."
"312","MAL07091046X","Lycovid","HOVID BERHAD"
"313","MAL06100733X","Michelle Lazar Liquid C-Plus","MICHELLE LAZAR INTERNATIONAL SDN BHD"
"314","MAL09072751X","GNC MEN""S MEGA MEN ACTIVE TABLET","ONI Global (Malaysia) Sdn Bhd"
"315","MAL09072752X","GNC WOMEN™S ULTIMAT MEGA CALCIUM PLUS ADVANCED FORMULA CAPLET","ONI Global (Malaysia) Sdn Bhd"
"316","MAL07050250XC","Ener-C Plus","VIGORACE SDN BHD"
"317","MAL07081554XC","Epican Forte","WONG`S NATURE CURE CENTRE"
"318","MAL07021529X","Live-well™ TIME C-500 with Rose Hip Tablet","PAHANG PHARMACY SDN. BHD."
"319","MAL07081599XCR","Bnature Basix Caplets","BNATURE HEALTH SDN BHD"
"320","MAL07101370X","Redoxon Double Action Blackcurrant Effervescent Tablet","BAYER CO. (MALAYSIA) SDN. BHD."
"321","MAL07061553XCR","Bnature Bzi-600 Caplet","BNATURE HEALTH SDN BHD"
"322","MAL07101371XS","REDOXON Double Action Vitamin C & Zinc Chewable Tablets","BAYER CO. (MALAYSIA) SDN. BHD."
"323","MAL08010728X","Vitalon Oral Powder","NOVA LABORATORIES SDN. BHD."
"324","MAL20071682XE","VITA ROBOVITES MULTI VITAMIN SYRUP","HERBAL SCIENCE SDN. BHD."
"325","MAL07081653X","Appeton Essentials Teengrow","KOTRA PHARMA (M) SDN. BHD."
"326","MAL07061564X","Appeton Essentials MV21G + Selenium","KOTRA PHARMA (M) SDN. BHD."
"327","MAL07061565X","Appeton Essentials MV21 Caplet","KOTRA PHARMA (M) SDN. BHD."
"328","MAL09072760X","GNC Men""s Mega Men® 50 Plus","ONI Global (Malaysia) Sdn Bhd"
"329","MAL08010753XC","Vigorshield","VIGORACE SDN BHD"
"330","MAL11030027XCR","VitaHealth Crowning Glory Extra","VITAHEALTH BIOTECH SDN BHD"
"331","MAL09042390X","GNC  ULTIMAT MEGA GOLD TABLET","ONI Global (Malaysia) Sdn Bhd"
"332","MAL08042250X","Appeton Essentials Msteen","KOTRA PHARMA (M) SDN. BHD."
"333","MAL08042261X","BEROCCA ORANGE FLAVOUR EFFERVESCENT TABLETS","BAYER CO. (MALAYSIA) SDN. BHD."
"334","MAL08061587X","Opti E Plus","HOVID BERHAD"
"335","MAL08111747X","GENOLIFE CALCIUM PLUS CHEWABLE TABLET HONEYDEW FLAVOUR","HERBAL SCIENCE SDN. BHD."
"336","MAL08111748X","Citrex Seaweed Calcium Plus Chewable Tablet (Orange Flavour)","HERBAL SCIENCE SDN. BHD."
"337","MAL07124659X","SITRUS-SR TABLET ( Vitamin C Sustained -Release Tablet With Zinc and Selenium)","UNIMED SDN BHD"
"338","MAL08051619X","Collagen Plus A Liquid","HERBAL SCIENCE SDN. BHD."
"339","MAL08051624XC","Argylax Oral Granules","NOVA LABORATORIES SDN. BHD."
"340","MAL08051625X","Beau-t  Collagen Plus C Astaxanthin","HERBAL SCIENCE SDN. BHD."
"341","MAL08042267XC","Kordel""s Kid""s Vitamin C 250 mg + Bioflavonoids Chewable Tablet","NUVANTA SDN. BHD."
"342","MAL08082471X","Carovid","HOVID BERHAD"
"343","MAL08061612XCR","BiO-LiFE Premiton Soft Capsule","BIO-LIFE MARKETING SDN BHD"
"344","MAL08042276X","Lensivit","WONG`S NATURE CURE CENTRE"
"345","MAL08082495XZ","hovid Chewette C Vitamin C 100mg Orange Flavour Chewable Tablets","HOVID BERHAD"
"346","MAL10053675XC","VIUSID","CATALYSIS (M) SDN. BHD."
"347","MAL09020976X","Redoxon Vita Guard ACE+ Effervescent Tablet","BAYER CO. (MALAYSIA) SDN. BHD."
"348","MAL10100241XC","VitaHealth DHA Emulsion Plus Calcium & VItamin C","VITAHEALTH BIOTECH SDN BHD"
"349","MAL09062132X","Appeton Essentials Antioxidant","KOTRA PHARMA (M) SDN. BHD."
"350","MAL09072289XCZ","ChildLife™ Essentials Liquid Vitamin C","LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD."
"351","MAL08091469X","Vitasen C 100 with Royal Jelly Chewable Tablet","WINWA MEDICAL SDN. BHD."
"352","MAL09020981X","APPETON MULTIVITAMIN HI-Q TAURINE WITH DHA TABLET","KOTRA PHARMA (M) SDN. BHD."
"353","MAL09011498XCR","SURBEX Natopherol  ALA PLUS","ABBOTT LABORATORIES (M) SDN. BHD."
"354","MAL09042465X","Live-well™ Vitakidz™ Tablet  (bebas gula)","PAHANG PHARMACY SDN. BHD."
"355","MAL09042470X","Live-well™ Vitakidz ™ Tablet","PAHANG PHARMACY SDN. BHD."
"356","MAL09062163X","NORIVIT (bebas gula)","Noripharma Sdn. Bhd."
"357","MAL09062167X","NORIVIT","Noripharma Sdn. Bhd."
"358","MAL11030112XC","HERBALIFE NUTRITION NW Formula Powder Mix","HERBALIFE PRODUCTS MALAYSIA SDN BHD"
"359","MAL10080078XC","OCOXIN Oral Solution","CATALYSIS (M) SDN. BHD."
"360","MAL11070017XC","DAMEL CAPSULE","CATALYSIS (M) SDN. BHD."
"361","MAL09062169XCR","Eurobio® Bio-Vizmax Soft Capsule","EUROBIO SDN BHD"
"362","MAL09100268X","NATURAL FACTORS VITAMIN C 1000MG WITH BIOFLAVONOIDS TIME RELEASE","NUVANTA SDN. BHD."
"363","MAL10012456XZ","APPETON ACTIV-C (STRAWBERRY)","KOTRA PHARMA (M) SDN. BHD."
"364","MAL09082833XCR","EUROBIO® KIDS CHEWABLE MULTIVITAMINS & MINERALS PLUS TABLET","EUROBIO SDN BHD"
"365","MAL09102966X","Shine Cutie Chewable Tablet","Y.S.P. INDUSTRIES (M) SDN BHD"
"366","MAL09072802XR","Total Image Collagen Plus","TOTAL IMAGE REGIONAL (M) SDN BHD"
"367","MAL09042548XCRZ","EUROBIO® HIPOTEN C 500 CHEWABLE TABLET","EUROBIO SDN BHD"
"368","MAL09111765XZ","Flavettes Vitamin C Blackcurrant 250mg","Duopharma Marketing Sdn. Bhd."
"369","MAL10021817XZ","Champs Vitamin C 100mg Blackcurrant Flavour Chewable Tablet","Duopharma Marketing Sdn. Bhd."
"370","MAL10012466XZ","Vit C 50 Frx Tablet","IDAMAN PHARMA SDN. BHD."
"371","MAL10063030XZ","SW VITAMIN C TABLET 100MG","SUNWARD PHARMACEUTICAL SDN. BHD."
"372","MAL09122804X","Redoxon Double Action Kids Chewable Tablet","BAYER CO. (MALAYSIA) SDN. BHD."
"373","MAL09122805XCR","Eurobio® Prelac Complete Vegicap","EUROBIO SDN BHD"
"374","MAL09103050XCR","Eurobio® Kids Q DHA Plus Vegicap Soft Capsule","EUROBIO SDN BHD"
"375","MAL10070601X","RE- GLUTATHIONE + VITAMIN C Capsule","HERBAL SCIENCE SDN. BHD."
"376","MAL11070020X","VITASEN® Daily Multi for Adults Chewable Tablet","WINWA MEDICAL SDN. BHD."
"377","MAL11030032XZ","FMD FloraC Capsule","BASIC HEALTH & BEAUTY SDN BHD"
"378","MAL20091975XEZ","HOVID CHEWETTE C 100MG TABLET (BLACKCURRANT)","HOVID BERHAD"
"379","MAL10120057XCR","BLACKMORES KOALAKIDS MULTIVITAMIN + MINERAL CHEWABLE TABLETS","BLACKMORES (MALAYSIA) SDN. BHD."
"380","MAL11030028X","ACES Tablets","MEGA LIFESCIENCES SDN. BHD."
"381","MAL11010058XC","ZhuBee OMEGA 3 PLUS With MULTIVITAMIN","DUOPHARMA (M) SDN. BHD."
"382","MAL10100227XC","Zhubee C with Lysine Tablet (Fruity)","DUOPHARMA (M) SDN. BHD."
"383","MAL10043763XCR","Kordel""s Bio-Liquid Women""s Multi With Fish Oil Vegicap","CAMBERT(M) SDN BHD"
"384","MAL20112127XR","BLACKMORES teen multi for GIRLS capsule","BLACKMORES (MALAYSIA) SDN. BHD."
"385","MAL11010059XCR","BLACKMORES teen multi for GUYS capsule","BLACKMORES (MALAYSIA) SDN. BHD."
"386","MAL10063028X","Biolyn Marine Collagen plus Vitamin C","BIOLYN (M) SDN. BHD."
"387","MAL11080008X","Cebion Vitamin C 1000 mg + Calcium Effervescent Tablet","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"388","MAL11060067XC","Shine Oramin Natural Korean Ginseng + Royal Jelly with Multivitamins and Minerals.","Y.S.P. INDUSTRIES (M) SDN BHD"
"389","MAL10110047X","Redoxon C + Calcium + D + B6 Orange Effervescent Tablet","BAYER CO. (MALAYSIA) SDN. BHD."
"390","MAL11080012XC","Melaleuca Oligo VFL MULTIVITAMIN & MINERAL + IRON","Melaleuca Southeast Asia (malaysia) Sdn. Bhd."
"391","MAL11080013XC","Melaleuca Oligo VFL MULTIVITAMIN & MINERAL","Melaleuca Southeast Asia (malaysia) Sdn. Bhd."
"392","MAL11040029XC","Melaleuca CELWISE","Melaleuca Southeast Asia (malaysia) Sdn. Bhd."
"393","MAL11060068XC","Melaleuca PHYTOMEGA","Melaleuca Southeast Asia (malaysia) Sdn. Bhd."
"394","MAL11060074XZ","Cebion Vitamin C 1000 mg SUGAR FREE Orange Flavour Effervescent Tablets","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"395","MAL10110050XCR","Eurobio® Beumax Active Formula Bilayer Tablet","EUROBIO SDN BHD"
"396","MAL20122261NE","HOVID BETATON ESSENTIALS","HOVID BERHAD"
"397","MAL20142420NE","VITA ROBOVITES KIDS VITAMINS SYRUP PLUS LYSINE & PREBIOTIC","HERBAL SCIENCE SDN. BHD."
"398","MAL20142375NE","HOVID BIOESS ENTIA SOFT GELATIN CAPSULE","HOVID BERHAD"
"399","MAL20162564NE","VITASEN Daily Multivitamin with Lysine (Orange flavour)","WINWA MEDICAL SDN. BHD."
"400","MAL20033465AEZ","PANADOL COLD EXTRA CAPLETS","STERLING DRUG (MALAYA) SDN. BHD."
"401","MAL19911363XZ","REXOM ASCORBIC ACID TABLET 100MG","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"402","MAL19940202XCZ","QURVION C TABLET 100MG","ZONTRON PHARMACEUTICALS SDN. BHD."
"403","MAL19940206XCZ","QURVION C TABLET 250 MG","ZONTRON PHARMACEUTICALS SDN. BHD."
"404","MAL19912852XZ","XEPA-C TABLET","XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD"
"405","MAL19910349XZ","Royce Ascorbic 500mg Chewable Tablet","ROYCE PHARMA MANUFACTURING SDN. BHD."
"406","MAL19912119XZ","PRIME C CHEWABLE TABLET 250MG","PRIME PHARMACEUTICAL SDN. BHD."
"407","MAL19910368XR","Iberet Active Filmtab","ABBOTT LABORATORIES (M) SDN. BHD."
"408","MAL19911002X","SANGOBION COMPLETE CAPSULE","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"409","MAL19911898X","JASIMENTH C PASTILLES","PRIME PHARMACEUTICAL SDN. BHD."
"410","MAL19913104XZ","WELLVIT C 500MG TABLET","WELLMEX SDN BHD"
"411","MAL19930617XZ","PRIME C CHEWABLE TABLET 100MG","PRIME PHARMACEUTICAL SDN. BHD."
"412","MAL19961675XZ","Zhubee Vitamin C Tablet 300mg","DUOPHARMA (M) SDN. BHD."
"413","MAL19970981XZ","DYNA C 500 TABLET","DYNAPHARM (M) SDN BHD"
"414","MAL19962172XZ","SHINE VITAMIN C-100 (ORANGE FLAVOUR)","Y.S.P. INDUSTRIES (M) SDN BHD"
"415","MAL19972517X","SHINE VITAMIN C-500 PLUS TABLET","Y.S.P. INDUSTRIES (M) SDN BHD"
"416","MAL19990612XZ","FUJI VITAMIN C 100MG TABLET","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"417","MAL06051568XZ","Champs Vitamin C Chewable 100mg (Natural Orange Flavour)","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"418","MAL07021532X","IBERET FOLIC 500 FILMTAB","ABBOTT LABORATORIES (M) SDN. BHD."
"419","MAL07021536XZ","Champs Vitamin C Chewable 100mg (Strawberry)","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"420","MAL07050214ARZ","Cernevit, Lyophilisate for Reconstitution","BAXTER HEALTHCARE (MALAYSIA) SDN. BHD."
"421","MAL08111783X","ZINCOFER CAPSULES","UNIMED SDN BHD"
"422","MAL17096007NC","APPETON Essentials Multi-Vit plus Effervescent Tablet","KOTRA PHARMA (M) SDN. BHD."
"423","MAL20013492XRZ","VITAMIN C-500 PROLONGED RELEASE","21ST CENTURY PRODUCTS SDN. BHD."
"424","MAL20014231XCZ","GOLD LIFE® VITAMIN C 250MG","MEDIPHARM INDUSTRIES SDN. BHD."
"425","MAL20162675NC","ASWAD L-GLUTATHIONE PLUS CHEWABLE TABLET","ALORA ROSE ENTERPRISE"
"426","MAL20172687N","natural FactorsÂ® Calcium &  Magnesium Plus C, Potassium & Zinc Tablets","NUVANTA SDN. BHD."
"427","MAL20172689NC","NURRAYSA VIT C,VIT E & GLUTA  PLUS  Chewable Tablet","MRZ HERBAL HEALTHY CARE"
"428","MAL20172692NC","ELISHA ERC CHEWABLE TABLET","ELISHA GORGEOUS SDN. BHD."
"429","MAL20172682NZ","Flavettes Effervescent VITAMIN C 1000mg Effervescent Tablet (Passion Fruit)","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"430","MAL20172782N","Champs Vitamin C 250mg Plus Zinc (Orange Flavour) Effervescent Tablet","Duopharma Marketing Sdn. Bhd."
"431","MAL20172834N","Y.S.P. Multimin Film Coated Tablet","Y.S.P. INDUSTRIES (M) SDN BHD"
"432","MAL20172915NC","KINOHIMITSU L-GLUTATHIONE PLUS POWDER","TRN MARKETING (M) SDN. BHD."
"433","MAL20172948NC","KILOUP CHEWABLE TABLET","FEREENA BEAUTY CARE"
"434","MAL17107064NC","Embrase Capsule","ORALIX MEDICAL SDN. BHD."
"435","MAL20172870NC","Arthri-Well Collagen Hydrolysate Plus MSM & Vit C Powder","ECO ASIA FOOD TECH SDN. BHD."
"436","MAL20172871NC","TIOX-C L-Glutathione COMPLEX VEGECAPS","ETERNAL WISE SDN.BHD"
"437","MAL17107062N","CNI WELL3 Probiotics Complex Powder","GN NEUTRICEUTICALS SDN BHD"
"438","MAL17107052NZ","NUTRILEX VITAMIN C CHEWABLE TABLET 100mg","Zhulian Nutraceutical Sdn. Bhd."
"439","MAL20172947NC","NH Vit-C Plus Calcium Effervescent Tablet","HERBALCEUTICAL (M) SDN. BHD."
"440","MAL17097016NC","KANGEN UKON SIGMA SOFTGELS","Enagic (Malaysia) Sdn Bhd"
"441","MAL20172955NC","FIXU","Bio Formula Sdn Bhd"
"442","MAL17116058NC","Chewies Kid's Multivitamin Plus Lysine Chewable Tablets","AJ RESEARCH & PHARMA SDN. BHD."
"443","MAL17116059NC","Chewies Kid's Multivitamin Chewable Tablets","AJ RESEARCH & PHARMA SDN. BHD."
"444","MAL17126049NCR","VitaHealth Crowning Glory Gold Tablet","VITAHEALTH BIOTECH SDN BHD"
"445","MAL17076023N","Flavettes Effervescent GLOW Effervescent Tablet (Orange)","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"446","MAL17116057NC","Chewies Kid's Multivitamin Plus Taurine Chewable Tablets","AJ RESEARCH & PHARMA SDN. BHD."
"447","MAL17056006NC","Vitamode® Livvital tablet","Vitamode  Sdn.bhd"
"448","MAL17066001N","VITASEN Multivitamin Capsule","WINWA MEDICAL SDN. BHD."
"449","MAL18046027NZ","VICEE VITAMIN C 500MG LOZENGES ORANGE FLAVOUR","THE ZYFAS MEDICAL CO.,"
"450","MAL17086013NC","Isotonixâ„¢ calcium plus Powder","MARKET MALAYSIA SHOP SDN. BHD."
"451","MAL17116049NC","imbeau vitamin c plus chewable tablet","MRZ HERBAL HEALTHY CARE"
"452","MAL17076029NC","Isotonixâ„¢ multivitamin and minerals Powder","MARKET MALAYSIA SHOP SDN. BHD."
"453","MAL17116050NC","Lovella BeauteColla Vitamin C Plus Powder","MRZ HERBAL HEALTHY CARE"
"454","MAL17116047NC","THE PrimAGE IGuard Vegetable Capsule","CAMBERT(M) SDN BHD"
"455","MAL18026025NCZ","VITRUS Vitamin-C 1000mg Effervescent Tablet (Orange Flavor)","HEALOL PHARMACEUTICALS SDN. BHD."
"456","MAL17086002NCZ","Fereena Vitamin C 500mg Chewable Tablet","FEREENA BEAUTY CARE"
"457","MAL17126041NC","Satin Glutathione Plus  chewable tablet","SATIN SKINZ SDN BHD"
"458","MAL18046043N","BluForest GRAPE BURST PLUS VITAMIN C 1000mg Tablet","Live-Well Nutraceuticals Sdn. Bhd."
"459","MAL17106088NZ","PP Vitamin C 500mg Tablet","PAHANG PHARMACY SDN. BHD."
"460","MAL18036111NC","GNC Triple C COMPLEX  EFFERVESCENT Powder","ONI Global (Malaysia) Sdn Bhd"
"461","MAL18056020N","ASTAR MAXI B+C Tablet","Live-Well Nutraceuticals Sdn. Bhd."
"462","MAL18026012N","Live-well OCCUgard Tablet","Live-Well Nutraceuticals Sdn. Bhd."
"463","MAL17126052N","VITAMIN BEC + ZINC Tablet","PAHANG PHARMACY SDN. BHD."
"464","MAL18026029NCR","MegaLive Ginviton Softgel","MegaLive BioSciences Sdn Bhd"
"465","MAL18056144NC","PureMed OsteoEase Powder","Pure Medisciences (M) Sdn Bhd"
"466","MAL17126046NC","TIMELESS Evergreen Formula Capsule","MARKET MALAYSIA SHOP SDN. BHD."
"467","MAL17126036NZ","NUTRiLEX VITAMIN C 250MG CHEWABLE TABLET (ORANGE FLAVOUR)","Zhulian Nutraceutical Sdn. Bhd."
"468","MAL18026033N","Infinite Glow Vitamin C Plus Glutathione Capsule","Ph Manufacturing Sdn Bhd"
"469","MAL18076015NC","AyurCo WELLNESS COLO2 ZONE POWDER","AYURCO WELLNESS (M) SDN. BHD."
"470","MAL18026032NC","Isotonix vitamin c plus powder","MARKET MALAYSIA SHOP SDN. BHD."
"471","MAL18046041NC","Biotropics nu-prep ALIVITES Tablets","Biotropics Malaysia Berhad"
"472","MAL18046028NZ","Glowing Dream Vitamin C 800mg Tablet","Ph Manufacturing Sdn Bhd"
"473","MAL18056147NC","OPTIVIT CAPSULE","QUANTUM UPSTREAM SDN. BHD."
"474","MAL18026076NE","Nutravit Syrup","Hovid Pharmacy Sdn. Bhd."
"475","MAL18036092NE","Appeton Multivitamin Lysine Syrup","KOTRA PHARMA (M) SDN. BHD."
"476","MAL18076020NC","V Gen HGC Powder","V GEN SDN BHD"
"477","MAL19026078N","Centrum ENERGY B-Vitamins and Minerals Plus Vitamins C and E Tablet","GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD."
"478","MAL18036122NC","Shima  VITAMIN C PLUS GLUTATHIONE TABLET","TRADIPHARMA TRADE"
"479","MAL18046038N","CADENCE 3SIXTEE Capsule","EXCEL HERBAL INDUSTRIES SDN. BHD."
"480","MAL18036116NC","R2-Lab Gluta Collagen Plus Powder","EXCEL HERBAL INDUSTRIES SDN. BHD."
"481","MAL18026026NZ","Vitalita Vitamin C 500mg Chewable Tablet (Orange Flavour)","WINWA MEDICAL SDN. BHD."
"482","MAL18036124N","Vitalita B-Complex Plus C & Zinc Tablet","WINWA MEDICAL SDN. BHD."
"483","MAL18056016N","Vitalita Daily Multivitamin Tablet","WINWA MEDICAL SDN. BHD."
"484","MAL18046037NC","ProbiferroSorb probiotic folic acid plus Powder","CLINICAL NUTRITION INTL (M) SDN BHD"
"485","MAL18036118N","Excelab ECZ powder","EXCEL HERBAL INDUSTRIES SDN. BHD."
"486","MAL18056008N","GKB Kid`s Probiotic + Vitamin C Powder","GK BIO INTERNATIONAL SDN. BHD."
"487","MAL18056011N","NHF Bio Collagen Peptide Plus Powder","EXCEL HERBAL INDUSTRIES SDN. BHD."
"488","MAL18046030N","PRO LAB Sense PRO i Powder","PRO LAB SENSE SDN BHD"
"489","MAL18056010N","NHF BIOVISEN Powder","EXCEL HERBAL INDUSTRIES SDN. BHD."
"490","MAL18046033N","NHF Bilberry Plus Powder","EXCEL HERBAL INDUSTRIES SDN. BHD."
"491","MAL18036119NZ","NHF Natural C Powder","NATURAL HEALTH FARM MARKETING (M) SDN BHD"
"492","MAL18036113N","OliGlo Chewable Tablet","DZR PHARMA MANUFACTURE SDN. BHD."
"493","MAL18066037N","apotec i-Shine Capsule","Bioalpha International Sdn. Bhd."
